Name,Released,Rating,Genres,Platforms,Tags
Grand Theft Auto V,2013-09-17,4.47,Action,"PC, PlayStation 5, Xbox Series S/X, PlayStation 4, PlayStation 3, Xbox 360, Xbox One","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Atmospheric, Great Soundtrack, RPG, Co-op, Open World, cooperative, First-Person, Third Person, Funny, Sandbox, Comedy, Third-Person Shooter, Moddable, Crime, vr mod"
The Witcher 3: Wild Hunt,2015-05-18,4.64,"Action, RPG","Xbox Series S/X, PlayStation 5, macOS, PlayStation 4, Nintendo Switch, PC, Xbox One","Singleplayer, Full controller support, Atmospheric, Great Soundtrack, RPG, Story Rich, Open World, Third Person, Fantasy, Sandbox, Action RPG, Dark, Nudity, controller support, Choices Matter, Dark Fantasy, Mature, Medieval, Magic, Multiple Endings"
Portal 2,2011-04-18,4.59,"Shooter, Puzzle","PlayStation 3, PC, Xbox 360, Linux, macOS, Xbox One","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Co-op, Story Rich, cooperative, First-Person, Sci-fi, FPS, Online Co-Op, Funny, Female Protagonist, Comedy, Local Co-Op, stats, Steam Workshop, Space, Includes level editor, Captions available, Commentary available, Science"
Counter-Strike: Global Offensive,2012-08-21,3.57,Shooter,"PC, Linux, Xbox 360, PlayStation 3","Steam Achievements, Multiplayer, Full controller support, steam-trading-cards, Co-op, cooperative, First-Person, FPS, Online Co-Op, Tactical, stats, Steam Workshop, PvP, Moddable, War, In-App Purchases, Realistic, Team-Based, Fast-Paced, Military, Competitive, Valve Anti-Cheat enabled, e-sports, Trading"
Tomb Raider (2013),2013-03-05,4.06,Action,"PlayStation 3, Xbox 360, macOS, PC, Xbox One, PlayStation 4","Singleplayer, Multiplayer, Full controller support, Atmospheric, RPG, Third Person, Exploration, Classic, Female Protagonist, Stealth, Action-Adventure, Third-Person Shooter, Retro, Cinematic, Quick-Time Events, Dinosaurs, Lara Croft"
Portal,2007-10-09,4.49,"Action, Puzzle","macOS, PC, Android, PlayStation 3, Xbox 360, Linux, Nintendo Switch","Singleplayer, Steam Achievements, Atmospheric, Great Soundtrack, Story Rich, First-Person, Sci-fi, Partial Controller Support, FPS, Funny, Classic, Female Protagonist, Comedy, Includes level editor, Captions available, Short, Physics, Dark Humor, Commentary available, Includes Source SDK, Science"
Left 4 Dead 2,2009-11-17,4.09,"Action, Shooter","Xbox 360, Linux, PC, macOS","Singleplayer, Steam Achievements, Multiplayer, Full controller support, Steam Cloud, steam-trading-cards, Co-op, cooperative, First-Person, Horror, FPS, Online Co-Op, Gore, Survival, Local Co-Op, Tactical, stats, Steam Workshop, Zombies, Moddable, Survival Horror, Post-apocalyptic, Captions available, Replay Value, Team-Based, Valve Anti-Cheat enabled, Commentary available, Includes Source SDK"
The Elder Scrolls V: Skyrim,2011-11-11,4.42,"Action, RPG","PC, Xbox Series S/X, PlayStation 5, Xbox One, PlayStation 4, Nintendo Switch, Xbox 360, PlayStation 3","Singleplayer, Steam Achievements, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, RPG, Story Rich, Open World, First-Person, Third Person, Partial Controller Support, Fantasy, Sandbox, Action RPG, Steam Workshop, role-playing, Moddable, Character Customization, Dark Fantasy, Medieval, Magic, Lore-Rich, Dragons"
Red Dead Redemption 2,2018-10-26,4.59,Action,"PC, PlayStation 4, Xbox One","Singleplayer, Multiplayer, Atmospheric, Great Soundtrack, Co-op, Story Rich, Open World, First-Person, Third Person, Partial Controller Support, FPS, Online Co-Op, Gore, Exploration, Sandbox, Violent, Third-Person Shooter, PvP, In-App Purchases, Mature, Realistic, Historical, Cinematic, Crime, Online PvP, 3rd-Person Perspective, Blood, America, Masterpiece, Beautiful, Hunting, Western, 3rd-person"
BioShock Infinite,2013-03-26,4.38,"Action, Shooter","PlayStation 4, Xbox 360, Nintendo Switch, Linux, PC, PlayStation 3, Xbox One","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric, steam-trading-cards, Great Soundtrack, RPG, Story Rich, First-Person, Sci-fi, FPS, Fantasy, Gore, Controller, Dystopian, Linear, Steampunk, Alternate History, Time Travel, Political"
